x;l;r01;r03
0,0400;-0,01956864;-0,02;-0,25
0,2849;0,000438251;-0,05;-0,22
-0,9023;0,203678391;-0,06;-0,10
0,5667;-0,004450936;-0,08;-0,08
0,8820;0,188270579;0,02;0,44
0,8145;0,109489535;-0,27;-0,39
0,1024;-0,008659967;0,08;-0,06
0,8187;0,11360868;-0,10;-0,17
-0,2689;-0,123101194;0,16;-0,04
0,0987;-0,00918683;-0,02;-0,03
0,2830;0,000484412;-0,09;0,14
0,8104;0,10556129;-0,11;0,09
0,6451;0,010010989;-0,16;0,35
0,8469;0,143857793;0,16;-0,25
0,4375;-0,006566968;-0,11;0,14
0,3603;-0,002688371;-0,12;0,02
-0,6648;-0,142676197;-0,05;-0,08
-0,6574;-0,147187146;-0,15;-0,03
-0,9914;0,468640335;0,01;0,03
-0,7900;-0,01499949;0,23;0,28
