x;t1;t2;t3;t4;l
0,7197;1,5197;0,5197;0,4197;0,1197;0,039677445
0,0526;0,8526;-0,1474;-0,2474;-0,5474;-0,01701952
0,9898;1,7898;0,7898;0,6898;0,3898;0,380090188
0,5061;1,3061;0,3061;0,2061;-0,0939;-0,007737191
0,3296;1,1296;0,1296;0,0296;-0,2704;-0,001171731
-0,3361;0,4639;-0,5361;-0,6361;-0,9361;-0,148087302
-0,9352;-0,1352;-1,1352;-1,2352;-1,5352;0,291039087
-0,6154;0,1846;-0,8154;-0,9154;-1,2154;-0,167468274
0,6193;1,4193;0,4193;0,3193;0,0193;0,003667375
-0,9302;-0,1302;-1,1302;-1,2302;-1,5302;0,277006658
